"32000","2979","120408","11.1","19.5","41.4","17.3"
"32001","4098","60179","7.1","8.0","32.1","25.1"
"32002","890","116633","13.3","8.6","30.7","18.8"
"32003","4660","53832","6.0","7.6","33.6","24.5"
"32004","1595","107583","12.8","10.4","32.8","35.9"
"32005","4589","124270","8.6","8.7","22.0","23.3"
"32006","3168","99277","8.4","20.5","21.2","36.5"
"32007","2807","138998","5.0","16.7","32.5","15.5"
"32008","2677","83417","14.8","12.4","22.8","23.8"
"32009","1335","95378","7.1","9.1","27.0","38.1"
"32010","1158","68096","5.5","21.1","45.6","30.1"
"32011","1270","139239","3.4","22.6","27.8","24.0"
"32012","3718","42276","8.9","22.1","47.7","37.8"
"32013","3759","85112","3.4","23.5","33.2","27.3"
"32014","3755","67208","8.5","21.2","37.5","15.1"
"32015","156","92969","13.8","17.7","26.8","20.0"
"32016","1992","75342","9.0","13.6","20.6","29.7"
"32017","2669","141425","3.5","10.8","33.4","23.5"
"32018","4180","115765","6.2","5.1","39.0","27.3"
"32019","4556","47411","3.6","21.6","25.8","21.0"
"32020","2048","41720","13.6","13.7","47.5","21.9"
"32021","322","54261","5.9","22.4","25.7","18.5"
"32022","1739","58202","3.8","11.4","42.5","18.6"
"32023","4522","108191","14.6","11.8","37.4","23.5"
"32024","1857","54739","8.8","5.4","21.8","34.5"
"32025","935","127886","7.9","14.7","33.6","38.4"
"32026","2636","100559","14.1","14.8","24.0","28.7"
"32027","2625","149380","9.4","18.1","30.7","15.7"
"32028","1084","84500","6.4","20.0","35.4","33.5"
"32029","1457","130147","12.5","11.9","30.3","38.3"
"32030","4987","128493","6.3","23.5","27.7","32.0"
"32031","3160","26767","8.3","14.1","33.6","36.1"
"32032","4577","70598","12.6","16.5","38.5","18.7"
"32033","1546","124108","14.2","16.9","46.1","17.4"
"32034","1471","35184","10.3","22.5","37.3","35.1"
"32035","3324","49249","9.1","18.9","27.5","31.0"
"32036","1974","111698","3.9","12.1","48.0","29.2"
"32037","2599","93716","10.4","19.1","25.3","27.6"
"32038","3461","138248","6.9","22.9","27.5","23.3"
"32039","1242","72942","9.2","21.4","23.3","37.1"
"32040","4409","121805","11.9","5.9","38.4","17.8"
"32041","664","60079","10.7","6.3","24.6","38.6"
"32042","4927","135881","4.2","18.6","23.4","35.9"
"32043","4634","135736","7.8","24.6","43.6","29.5"
"32044","1688","99256","5.4","17.0","41.4","24.6"
"32045","4085","88581","4.8","13.7","46.2","25.7"
"32046","4824","43769","5.6","16.6","37.0","25.8"
"32047","1570","100316","14.0","14.1","27.7","27.5"
