"17000","3992","70384","9.6","21.9","31.8","21.4"
"17001","539","46169","5.0","22.2","30.7","23.7"
"17002","1386","95110","13.2","8.3","27.0","19.8"
"17003","1308","123694","13.4","23.0","21.8","36.2"
"17004","1178","72678","5.4","12.9","49.4","23.4"
"17005","2663","37699","8.0","15.9","31.1","35.0"
"17006","3723","42665","8.6","17.3","36.4","34.8"
"17007","1353","106472","9.6","13.6","32.1","27.5"
"17008","3457","120076","3.3","11.9","41.3","26.9"
"17009","3309","107426","12.1","10.0","42.4","38.2"
"17010","3649","125026","13.3","15.3","47.0","39.9"
"17011","714","71999","4.7","21.8","29.6","39.4"
"17012","3178","42341","13.8","20.3","49.4","37.1"
"17013","2823","129162","13.2","15.2","43.9","30.9"
"17014","3590","116846","9.5","11.9","25.7","21.3"
"17015","3643","64205","6.3","5.3","35.1","26.9"
"17016","4615","74914","5.5","9.2","30.2","27.6"
"17017","2000","96132","8.9","8.7","35.4","21.3"
"17018","4471","30949","9.1","16.8","29.3","36.9"
"17019","1812","71784","10.8","23.4","27.3","25.3"
"17020","2429","145950","12.6","11.3","42.3","30.5"
"17021","3719","120922","14.2","20.9","35.5","34.1"
"17022","1294","31621","12.6","11.6","36.5","33.0"
"17023","1478","134107","13.9","24.3","32.7","29.8"
"17024","1412","86037","9.0","8.9","47.4","25.7"
"17025","3015","84103","3.5","13.1","21.4","25.2"
"17026","849","93425","3.6","8.0","43.5","22.9"
"17027","400","65545","6.2","9.5","44.2","23.6"
"17028","4795","108262","10.4","7.1","31.8","38.2"
"17029","4082","30514","7.0","7.2","22.1","21.5"
"17030","4724","64983","5.0","17.6","43.5","37.7"
"17031","3937","53656","13.2","20.7","33.5","32.8"
"17032","377","100364","14.8","6.6","38.6","22.7"
"17033","4858","118621","3.2","9.4","44.1","38.7"
"17034","2658","113538","4.1","11.4","25.0","39.7"
"17035","4017","40281","9.0","23.7","31.0","30.5"
"17036","2261","56471","7.1","17.0","40.8","20.9"
"17037","4775","32753","12.4","7.1","30.3","25.0"
"17038","1489","33741","10.9","12.4","31.1","38.9"
"17039","790","92541","3.8","19.3","42.3","25.7"
"17040","4832","146559","9.5","24.6","42.4","22.9"
"17041","3568","76335","7.0","19.8","38.0","33.7"
"17042","1948","52141","14.6","8.6","32.3","28.5"
"17043","3916","132254","8.7","21.4","31.6","30.1"
"17044","1039","74475","14.1","5.1","28.8","30.9"
"17045","3282","97900","3.4","14.6","22.3","38.0"
"17046","3409","35117","4.2","11.9","21.4","27.8"
"17047","2150","115222","7.6","23.9","47.7","25.6"
"17048","1846","26823","13.6","5.9","23.8","38.8"
"17049","2551","45005","9.5","10.1","38.4","16.2"
"17050","124","26138","12.9","10.2","28.2","35.6"
"17051","2656","59488","6.4","13.5","39.1","25.9"
"17052","160","74875","4.3","23.5","40.9","36.2"
"17053","222","48015","6.0","18.1","43.5","27.2"
"17054","2202","27412","10.7","7.4","22.7","16.8"
"17055","1286","104331","13.5","21.5","23.1","19.1"
"17056","1830","124070","8.5","17.6","44.2","22.7"
"17057","4741","38119","5.3","5.3","48.0","17.8"
"17058","4189","36573","10.7","23.4","27.7","36.7"
"17059","2572","133656","5.4","5.9","29.2","20.8"
"17060","3065","100021","9.8","17.2","47.5","39.8"
"17061","2377","51943","4.2","17.0","43.8","22.5"
"17062","4187","29017","12.7","17.2","27.1","26.2"
"17063","3064","62038","12.7","22.0","37.5","37.4"
