ZCTA,Population_65plus,Median_Income,Heart_Disease_Prevalence,Diabetes_Prevalence,Obesity_Prevalence,Arthritis_Prevalence
27751,232,136165,12.4,24.0,30.1,32.7
27752,3067,65541,4.7,21.6,41.0,33.4
27753,1826,131912,7.3,10.3,28.6,33.0
27754,125,41700,8.7,12.9,20.7,28.2
27755,2748,134795,12.7,23.2,47.5,35.3
27756,4740,44347,10.6,21.6,23.3,33.1
27757,1361,124395,12.0,21.1,43.4,34.0
27758,2165,144766,5.9,24.4,31.1,37.9
27759,3445,117956,5.8,6.5,33.7,23.6
27760,1033,143573,7.6,6.3,27.6,39.1
27761,1150,46983,3.2,13.7,24.1,38.0
27762,916,107596,13.0,23.3,21.4,34.3
27763,4303,124428,7.4,15.7,20.5,28.8
27764,837,101018,3.8,23.7,37.4,15.1
27765,3014,124417,13.5,8.1,46.9,33.9
27766,3702,92508,14.6,19.7,26.8,38.0
27767,892,36140,10.8,11.4,22.3,26.2
27768,3275,98303,7.3,18.5,35.9,20.5
27769,1455,111142,8.0,13.6,35.0,33.5
27770,1485,62482,6.1,11.1,42.0,30.0
27771,4092,144617,11.5,22.1,25.9,40.0
27772,4484,149302,7.3,12.8,45.9,19.5
27773,1160,85717,3.4,9.6,22.0,22.9
27774,1471,98197,3.6,8.0,35.6,36.3
27775,4238,32143,10.4,8.5,39.3,31.5
27776,1249,132251,6.5,15.4,27.1,35.6
27777,3302,135264,5.0,6.1,21.6,32.3
27778,3453,144559,9.6,6.5,22.7,20.6
27779,3042,122700,6.3,14.0,46.4,30.1
27780,4728,127140,3.9,19.0,20.0,38.5
27781,3548,114229,5.3,18.8,28.1,31.3
27782,3147,102700,12.3,23.0,49.4,31.1
27783,2810,72356,13.2,15.1,31.4,35.6
27784,1600,97917,13.5,9.4,23.6,32.6
27785,168,144162,9.4,21.0,21.7,35.1
27786,1966,56018,14.4,8.0,48.1,22.3
27787,2048,148371,4.8,18.5,46.4,28.1
27788,4001,25683,11.1,19.0,22.5,36.8
27789,3608,59743,11.5,8.9,37.6,31.1
27790,400,90839,3.6,6.1,38.6,23.2
27791,4222,37189,6.4,8.8,41.0,22.1
27792,3077,76104,14.4,20.9,24.2,34.1
27793,2700,143257,12.1,21.7,25.3,32.3
27794,2253,131213,3.7,10.2,48.2,27.3
27795,4781,127308,9.5,15.4,39.0,20.0
27796,4829,145753,10.8,6.1,30.6,22.3
27797,4118,99988,14.7,8.9,45.6,37.0
27798,3182,97933,11.6,16.3,35.8,23.5
27799,4854,75182,10.7,9.7,23.3,27.9
27800,1339,30826,13.9,6.0,42.9,23.0
27801,3033,78503,10.9,22.8,45.3,34.7
27802,2468,34386,14.2,9.6,21.4,19.9
27803,559,131023,8.9,20.5,23.5,35.8
27804,4128,69319,11.6,13.4,26.8,26.3
27805,2726,139403,10.6,19.1,24.3,26.0
27806,3863,98961,9.6,12.1,41.2,38.1
27807,2901,36112,6.9,17.1,22.7,21.1
27808,4355,59486,13.8,18.1,22.9,34.4
27809,563,91028,6.2,7.5,49.9,39.1
27810,1097,102010,4.9,22.7,36.3,38.9
27811,3106,141702,11.5,12.1,31.6,33.7
27812,1778,98565,9.6,20.7,30.2,21.7
27813,964,81686,6.2,16.0,33.8,37.4
27814,1290,70284,13.4,8.7,27.8,25.3
27815,2797,131840,6.4,12.1,47.9,24.6
27816,2474,30886,3.8,6.7,48.0,24.8
27817,964,39412,3.2,10.4,48.9,16.5
27818,2676,147315,14.1,9.1,47.4,23.9
27819,4015,98992,7.8,10.5,48.0,38.0
27820,3026,85919,5.6,21.1,33.4,21.7
27821,4529,54415,9.8,6.6,28.4,22.5
27822,2497,43056,8.9,17.6,30.6,34.4
27823,2321,110567,15.0,12.1,42.8,16.6
27824,1882,47772,13.7,14.7,24.1,35.6
27825,4098,66388,6.3,9.3,20.1,36.4
27826,2903,77314,11.4,24.1,41.3,18.6
27827,4267,105316,7.6,18.3,35.4,20.9
27828,4647,120464,7.4,9.0,42.2,33.0
27829,3058,142598,7.4,14.8,39.0,26.8
27830,1878,99181,10.7,8.1,24.7,22.8
27831,925,49924,9.5,23.2,39.6,24.9
27832,3761,73221,12.1,14.4,49.2,34.4
27833,3469,66381,4.8,6.5,37.6,18.1
27834,3195,117874,8.1,8.0,26.2,34.6
27835,2257,129937,13.3,15.0,25.4,21.7
27836,151,70741,3.0,8.9,25.6,34.3
27837,3461,106019,10.5,19.2,41.1,38.9
27838,3615,41965,12.4,13.5,44.5,38.3
27839,4662,60430,7.6,16.3,24.7,39.7
27840,3430,112272,13.6,17.4,49.4,20.5
27841,1774,56807,11.8,24.0,39.9,39.3
27842,2965,40966,10.3,23.7,31.3,19.9
27843,1461,29258,5.4,12.5,29.0,16.2
27844,886,31923,11.0,22.9,42.4,19.3
27845,655,117463,13.0,24.9,35.7,15.5
27846,2139,133862,11.8,22.6,30.7,15.1
27847,1862,146516,9.9,6.0,23.6,30.1
27848,2212,50605,11.6,11.5,38.3,16.1
27849,2310,59092,14.7,7.2,34.6,22.3
27850,1801,137473,3.1,18.7,41.5,26.3
27851,2186,57868,11.0,12.0,49.5,20.6
27852,2812,41799,12.5,8.8,33.5,38.8
27853,2507,111979,10.7,9.1,49.2,22.7
27854,2416,100111,6.3,12.5,21.2,15.6
27855,1710,71210,12.9,16.9,37.3,25.0
27856,4452,40230,14.0,18.6,44.8,17.8
27857,4805,124347,11.2,5.4,26.1,36.3
27858,1227,43130,9.1,24.6,35.5,28.4
27859,1004,121550,7.4,5.8,44.5,17.3
27860,263,45875,7.0,24.6,34.9,24.1
27861,1236,87908,11.7,10.4,37.6,24.3
27862,4810,105163,10.3,22.8,21.9,34.2
27863,2125,49041,4.9,22.6,46.1,39.3
27864,205,29443,4.7,14.7,20.2,22.7
27865,4894,34480,3.9,20.0,35.4,20.4
27866,4559,79012,11.2,18.3,34.2,33.6
27867,3192,86483,6.8,21.4,22.5,27.8
27868,2121,29170,3.2,16.1,26.9,33.4
27869,1252,127452,7.1,11.7,41.8,16.3
27870,798,147141,13.0,13.4,46.9,39.9
27871,3967,113129,6.0,7.8,25.0,27.1
27872,3370,57805,10.6,10.7,48.8,35.9
27873,846,66725,8.3,24.3,25.4,19.5
27874,1060,69837,9.6,13.6,38.5,18.9
27875,3591,68424,10.1,19.3,39.5,24.0
27876,3397,29806,8.5,11.2,40.2,21.1
27877,3077,62611,3.7,19.4,42.8,19.1
27878,308,137084,9.8,14.5,36.7,17.4
27879,3416,118003,7.8,20.8,20.8,17.6
27880,1991,123419,5.4,13.0,35.9,19.1
27881,1276,147452,13.8,24.3,45.0,17.5
27882,3606,41662,11.8,8.7,37.3,28.9
27883,2139,74605,6.4,15.1,24.7,36.2
27884,3389,142901,9.5,8.3,26.2,36.4
27885,1552,111623,14.6,10.3,34.9,38.7
27886,4861,71128,5.9,15.4,23.7,25.4
27887,3960,45848,14.4,8.5,23.9,35.5
27888,1717,119577,11.2,7.2,37.3,32.8
